"date","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","RH","SO2","SR","TOUT","WSR","WDR","Estacion","season","periodo","pandemia"
2020-01-01,1.88,2,5.2,7.2,25,37,28,734.2,0.01,93,NA,0.037,11.68,1.7,98,"Cadereyta",4,1,1
2020-01-01,1.86,2.6,5,7.6,22,55,28,733.8,0.02,93,NA,0.037,11.68,1.6,133,"Cadereyta",4,1,1
2020-01-01,1.78,3.1,5.9,8.9,21,35,11,733,0,93,NA,0.037,11.7,1.5,198,"Cadereyta",4,1,1
2020-01-01,1.76,2,4.5,6.5,22,27,NA,732.8,0.02,93,NA,0.037,11.8,0.7,240,"Cadereyta",4,1,1
2020-01-01,1.73,1.8,3.5,5.3,24,25,NA,732.5,0.02,93,NA,0.037,11.83,1,136,"Cadereyta",4,1,1
2020-01-01,1.68,1.5,2.4,3.8,24,21,NA,732.5,0.03,93,NA,0.037,11.93,0.6,79,"Cadereyta",4,1,1
2020-01-01,1.65,1.6,2.9,4.4,21,19,NA,732.3,0.05,93,NA,0.037,12.01,1,176,"Cadereyta",4,1,1
2020-01-01,1.7,2.2,4,6.2,20,19,NA,732.2,0.05,NA,NA,0.039,12.11,1.2,230,"Cadereyta",4,1,1
2020-01-01,1.64,2,3.2,5.2,18,19,NA,732.6,0.08,NA,NA,0.045,12.24,2.5,345,"Cadereyta",4,1,1
2020-01-01,1.7,2.4,4.7,7.1,15,18,4,732.9,0.08,NA,NA,0.058,12.51,2.7,NA,"Cadereyta",4,1,1
2020-01-01,1.8,3.5,7.4,10.8,12,20,8,733,0.05,NA,NA,0.073,12.93,1.7,3,"Cadereyta",4,1,1
2020-01-01,2.09,10.1,9.9,19.9,9,36,21,732.1,0.03,92,NA,0.12,13.89,1.4,293,"Cadereyta",4,1,1
2020-01-01,2.28,14.9,11,25.6,9,45,40,731,0,90,NA,0.164,15.36,1.7,301,"Cadereyta",4,1,1
2020-01-01,2.51,15.9,13,28.7,9,56,51,729.9,0,89,0.6,0.135,15.91,3,349,"Cadereyta",4,1,1
2020-01-01,2.51,11.7,13.3,24.8,10,63,54,728.9,0,85,0.5,0.106,16.65,2.9,347,"Cadereyta",4,1,1
2020-01-01,2.43,10.1,14.8,24.8,9,57,43,728.7,0,84,0.5,0.06,16.67,3.1,357,"Cadereyta",4,1,1
2020-01-01,2.05,5.1,12.3,17.3,13,50,25,729.2,0,83,NA,0.048,16.09,5,339,"Cadereyta",4,1,1
2020-01-01,2.09,3.6,11.3,14.8,16,35,4,729.6,0.06,86,NA,0.04,15.02,4.1,341,"Cadereyta",4,1,1
2020-01-01,2.08,3.5,10.6,14,14,29,12,729.7,0.08,89,NA,0.037,14.66,2.3,35,"Cadereyta",4,1,1
2020-01-01,1.99,3.3,9.9,13.2,12,33,14,730.1,0.03,90,NA,0.037,14.6,1.5,11,"Cadereyta",4,1,1
2020-01-01,2.31,7.3,13.7,20.8,6,29,8,729.9,0.03,92,NA,0.037,14.3,1,239,"Cadereyta",4,1,1
2020-01-02,1.82,3.4,8,11.2,13,27,6,728.5,0.01,92,NA,0.037,14.06,1.2,173,"Cadereyta",4,1,1
2020-01-02,1.67,2.1,4.6,6.6,16,22,7,727.7,0,92,NA,0.037,13.89,0.8,180,"Cadereyta",4,1,1
2020-01-02,1.61,1.8,3.6,5.4,16,18,8,726.9,0,92,NA,0.037,13.82,0.7,172,"Cadereyta",4,1,1
2020-01-02,1.62,1.9,4.9,6.7,13,18,4,726.3,0,92,NA,0.037,13.73,1.1,300,"Cadereyta",4,1,1
2020-01-02,1.63,2.4,6.7,9,10,17,5,725.9,0,91,NA,0.037,13.6,1.2,28,"Cadereyta",4,1,1
2020-01-02,1.71,2.4,7.4,9.8,8,17,5,725.5,0,90,NA,0.037,13.25,1,158,"Cadereyta",4,1,1
