"date","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","RH","SO2","SR","TOUT","WSR","WDR","Estacion","season","periodo","pandemia"
2020-01-01,NA,99.6,3.1,102.4,NA,41,NA,NA,0,2,11,0.374,NA,12.9,27,"Juarez",4,1,1
2020-01-01,NA,100.2,3.2,103.1,NA,30,NA,NA,0,2,11,0.381,NA,13.6,28,"Juarez",4,1,1
2020-01-01,NA,101.6,3.1,104.5,NA,25,NA,NA,0,2,11.4,0.385,NA,14.4,30,"Juarez",4,1,1
2020-01-01,NA,100.7,3.2,103.6,NA,23,NA,NA,0,2,10.9,0.386,NA,15.6,32,"Juarez",4,1,1
2020-01-01,NA,102.4,3.1,105.3,NA,18,NA,NA,0,2,10.9,0.386,NA,16,33,"Juarez",4,1,1
2020-01-01,NA,103.4,3.1,106.3,NA,13,NA,NA,0,2,NA,0.384,NA,16.4,34,"Juarez",4,1,1
2020-01-01,NA,103.7,NA,106.5,NA,13,NA,NA,0,2,11,0.384,NA,17.3,36,"Juarez",4,1,1
2020-01-01,NA,73.3,3.2,76.2,NA,29,NA,NA,0,NA,10.8,0.311,NA,9.5,20,"Juarez",4,1,1
2020-01-01,NA,79.5,3.1,82.4,NA,25,NA,NA,0,NA,11.2,0.337,NA,12.9,27,"Juarez",4,1,1
2020-01-01,NA,74.7,3.1,77.6,NA,65,NA,NA,0,NA,11.1,0.345,NA,16.2,34,"Juarez",4,1,1
2020-01-01,NA,72.8,3.2,75.8,NA,46,NA,NA,0,NA,11.1,0.317,NA,10.4,22,"Juarez",4,1,1
2020-01-01,NA,72.4,3,75.2,NA,29,NA,NA,0,1,11,0.305,NA,9.1,19,"Juarez",4,1,1
2020-01-01,NA,79.1,3.1,82,NA,13,NA,NA,0,2,10.9,0.319,NA,9.4,20,"Juarez",4,1,1
2020-01-01,NA,76.9,3.1,79.7,NA,13,NA,NA,0,2,10.9,0.315,NA,10.2,21,"Juarez",4,1,1
2020-01-01,NA,75,NA,77.9,NA,31,NA,NA,0,2,10.6,0.336,NA,14.9,31,"Juarez",4,1,1
2020-01-01,NA,83.2,NA,86,NA,19,NA,NA,0,2,11,0.348,NA,17,35,"Juarez",4,1,1
2020-01-01,NA,84.4,NA,87.3,NA,38,NA,NA,0,2,11,0.36,NA,19,39,"Juarez",4,1,1
2020-01-01,NA,75.8,3,78.6,NA,18,NA,NA,0,2,10.6,0.35,NA,17,35,"Juarez",4,1,1
2020-01-02,NA,85.8,3.2,88.7,NA,17,NA,NA,0,NA,10.7,0.376,NA,20.9,43,"Juarez",4,1,1
2020-01-02,NA,84.6,3.1,87.5,NA,21,NA,NA,0,NA,10.5,0.384,NA,21.5,44,"Juarez",4,1,1
2020-01-02,NA,79.8,3.2,82.7,NA,6,NA,NA,0,NA,10.7,0.409,NA,15.8,33,"Juarez",4,1,1
2020-01-02,NA,85.2,3.1,88.1,NA,24,NA,NA,0,NA,10.7,0.398,NA,19.5,40,"Juarez",4,1,1
2020-01-02,NA,78.1,3,81,NA,26,NA,NA,0,NA,10.6,0.394,NA,13.8,29,"Juarez",4,1,1
2020-01-02,NA,89.7,3.2,92.6,NA,7,NA,NA,0,NA,10.6,0.403,NA,13.4,28,"Juarez",4,1,1
2020-01-02,NA,91.7,3.1,94.6,NA,8,NA,NA,0,NA,11,0.385,NA,12.1,25,"Juarez",4,1,1
2020-01-02,NA,90.5,3.1,93.3,NA,7,NA,NA,0,NA,11.1,0.375,NA,10.3,21,"Juarez",4,1,1
2020-01-02,NA,91.3,2.9,94.2,NA,6,NA,NA,0,NA,11.2,0.383,NA,8.3,17,"Juarez",4,1,1
2020-01-02,NA,89.8,2.8,92.6,NA,20,NA,NA,0,NA,11.7,0.367,NA,12.9,27,"Juarez",4,1,1
2020-01-02,NA,83.4,3,86.2,NA,29,NA,NA,0,NA,11.2,0.358,NA,15.9,33,"Juarez",4,1,1
2020-01-02,NA,75.8,3.1,78.7,NA,27,NA,NA,0,NA,11,0.35,NA,16.1,33,"Juarez",4,1,1
2020-01-02,NA,72.7,3.1,75.6,NA,21,NA,NA,0,NA,11.6,0.285,NA,6.3,13,"Juarez",4,1,1
2020-01-02,NA,71.4,2.9,74.3,NA,27,NA,NA,0,NA,11.6,0.27,NA,0.6,2,"Juarez",4,1,1
2020-01-02,NA,85.8,3.1,88.7,NA,140,NA,NA,0,NA,11.8,0.296,NA,0.3,1,"Juarez",4,1,1
2020-01-03,NA,89.1,3.1,91.9,NA,141,NA,NA,0,NA,11.9,0.314,NA,2.7,6,"Juarez",4,1,1
2020-01-03,NA,83.9,2.9,86.8,NA,134,NA,NA,0,NA,11.6,0.294,NA,0.4,1,"Juarez",4,1,1
2020-01-07,NA,75.7,3.1,78.6,NA,35,NA,NA,0,NA,38.6,0.164,NA,4,9,"Juarez",4,1,1
2020-01-09,NA,90.4,3,93.2,NA,89,NA,NA,0,NA,11.9,0.458,NA,0.9,2,"Juarez",4,1,1
2020-01-09,NA,85.3,3.1,88.2,NA,61,NA,NA,0,NA,13.2,0.462,NA,5.2,11,"Juarez",4,1,1
2020-01-09,NA,78.7,3.2,81.7,NA,51,NA,NA,0,NA,41.1,0.172,NA,5.1,11,"Juarez",4,1,1
2020-01-09,NA,78.4,3.1,81.3,NA,63,NA,NA,0,NA,33.5,0.186,NA,0.3,1,"Juarez",4,1,1
2020-01-10,NA,91.8,3.1,94.6,NA,78,NA,NA,0,NA,12,0.521,NA,6.4,15,"Juarez",4,1,1
2020-01-16,NA,76.7,3.2,79.7,NA,23,NA,NA,0,NA,11.1,0.449,NA,10.9,24,"Juarez",4,1,1
2020-01-16,NA,76.6,3.1,79.5,NA,15,NA,NA,0,NA,11.2,0.408,NA,22.5,48,"Juarez",4,1,1
2020-01-16,NA,74.4,3.2,77.3,NA,13,NA,NA,0,NA,11.2,0.385,NA,23.1,49,"Juarez",4,1,1
2020-01-16,NA,72.5,3,75.4,NA,29,NA,NA,0,NA,11.3,0.286,NA,0.5,2,"Juarez",4,1,1
2020-01-17,NA,82.1,3.1,85,NA,10,NA,NA,0,NA,11.3,0.382,NA,2.2,6,"Juarez",4,1,1
2020-01-17,NA,77.3,3.1,80.1,NA,10,NA,NA,0,NA,11.2,0.345,NA,1.1,4,"Juarez",4,1,1
2020-01-17,NA,80.9,3,83.7,NA,50,NA,NA,0,NA,11.3,0.353,NA,1,3,"Juarez",4,1,1
2020-01-17,NA,77.7,3.1,80.5,NA,22,NA,NA,0,NA,11.3,0.351,NA,0.4,2,"Juarez",4,1,1
2020-01-17,NA,76.8,2.8,79.6,NA,9,NA,NA,0,NA,11.2,0.352,NA,1.7,5,"Juarez",4,1,1
2020-01-18,NA,82.1,3.1,85,NA,29,NA,NA,0,NA,11.4,0.377,NA,6.8,16,"Juarez",4,1,1
2020-01-18,NA,81.8,2.8,84.6,NA,20,NA,NA,0,NA,11.2,0.4,NA,9.7,22,"Juarez",4,1,1
2020-01-18,NA,81.4,2.8,84.2,NA,10,NA,NA,0,NA,11.2,0.389,NA,10.5,23,"Juarez",4,1,1
2020-01-18,NA,83.3,3.1,86.2,NA,4,NA,NA,0,NA,11.1,0.369,NA,4.2,10,"Juarez",4,1,1
2020-01-18,NA,84.4,2.8,87.2,NA,9,NA,NA,0,NA,11.3,0.369,NA,3.1,8,"Juarez",4,1,1
2020-01-18,NA,85.8,2.9,88.7,NA,22,NA,NA,0,NA,11.3,0.373,NA,3.1,8,"Juarez",4,1,1
