"date","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","RH","SO2","SR","TOUT","WSR","WDR","Estacion","season","periodo","pandemia"
2020-01-01,NA,NA,6.5,9.8,19,112.01,85.64,713.6,0,91,NA,0.158,10.49,3.7,2,"Obispado",4,1,1
2020-01-01,NA,NA,5.6,8.8,18,100.01,72.39,712.8,0,91,NA,0.156,10.51,1.9,144,"Obispado",4,1,1
2020-01-01,3.22,3.2,7.2,10.4,14,106.2,70.25,712.4,0,92,2.9,0.158,10.64,2.7,28,"Obispado",4,1,1
2020-01-01,3.26,4.7,10.6,15.3,5,141.86,93.72,712,0,92,3.3,0.163,10.73,2,31,"Obispado",4,1,1
2020-01-01,3.26,5,10.1,15.1,3,122.24,83.93,711.9,0,92,3.2,0.163,10.87,1.7,10,"Obispado",4,1,1
2020-01-01,3.25,4.2,9.5,13.7,4,113.71,77.28,711.8,0,92,2.9,0.162,10.94,1.7,250,"Obispado",4,1,1
2020-01-01,3.28,4,8.6,12.5,5,107.02,67.04,711.7,0,92,2.7,0.16,11.06,1.6,262,"Obispado",4,1,1
2020-01-01,3.36,6,8.5,14.5,4,102.32,64.77,711.8,0,91,2.7,0.163,11.26,2.1,330,"Obispado",4,1,1
2020-01-01,3.4,6.1,7.9,14,6,98.27,62.11,712.5,0,91,2.6,0.163,11.41,1.6,247,"Obispado",4,1,1
2020-01-01,3.26,5.5,6.2,11.6,8,79.95,51.71,712.7,0,91,2.7,0.161,11.97,3.3,238,"Obispado",4,1,1
2020-01-01,3.22,5.7,5.5,11.2,9,61.68,41.35,712.6,0,90,2.7,0.162,12.76,3.2,233,"Obispado",4,1,1
2020-01-01,3.24,5.6,5.6,11.2,10,59.14,34.82,711.9,0,90,2.6,0.162,13.53,2.3,234,"Obispado",4,1,1
2020-01-01,3.19,5.7,6.1,11.8,12,51.42,26.95,711.2,0,89,2.7,0.164,14.36,2.5,252,"Obispado",4,1,1
2020-01-01,3.1,4.4,5.7,10.1,21,31.58,16.66,710.2,0,88,2.7,0.162,14.73,3.1,255,"Obispado",4,1,1
2020-01-01,2.96,3.5,4.5,7.9,26,25.22,7.49,709.5,0,85,2.6,0.159,14.56,4.1,240,"Obispado",4,1,1
2020-01-01,3.01,3.7,5.7,9.3,22,23.66,7.82,709.4,0,85,2.5,0.16,14.27,3.2,232,"Obispado",4,1,1
2020-01-01,2.92,3.1,3.8,7,30,14.24,4.86,709.8,0,86,2.5,0.157,13.49,4.5,238,"Obispado",4,1,1
2020-01-01,2.93,3.1,3.9,7.1,30,12.15,4.62,709.8,0,85,2.4,0.157,13.4,3.2,259,"Obispado",4,1,1
2020-01-01,3.12,3.3,8.6,11.9,17,26.13,14.52,709.8,0,86,2.4,0.161,13.23,1.5,231,"Obispado",4,1,1
2020-01-01,3,3.1,6,9.1,23,18.81,8.46,710.1,0,87,2.5,0.158,12.78,2.2,238,"Obispado",4,1,1
2020-01-01,2.93,3.1,4.6,7.7,27,23.64,4.86,710.1,0,87,2.4,0.156,12.48,1.1,204,"Obispado",4,1,1
2020-01-01,2.94,3.1,5.4,8.6,25,17.48,4.52,709.7,0,87,2.3,0.157,12.42,1.2,164,"Obispado",4,1,1
2020-01-01,3.02,3.1,7,10.2,18,27.1,6.04,709.2,0,88,2.3,0.158,12.33,1.1,235,"Obispado",4,1,1
2020-01-02,2.94,3.2,5.5,8.7,22,17.8,4.68,708.7,0,88,2.3,0.156,12.3,1.4,263,"Obispado",4,1,1
2020-01-02,2.91,3.2,4.8,8.1,27,21.57,5.37,708.1,0,85,2.3,0.155,12.41,3.1,239,"Obispado",4,1,1
2020-01-02,2.88,3,4.5,7.6,25,30.53,6.98,707.2,0,81,2.4,0.155,12.88,3.2,239,"Obispado",4,1,1
2020-01-02,2.85,3,4.7,7.8,24,31.43,5.7,707,0,77,2.5,0.155,13.22,3.9,258,"Obispado",4,1,1
2020-01-02,2.86,3,4.8,7.9,23,25.71,6.96,706.6,0,76,2.4,0.155,13.1,2.4,235,"Obispado",4,1,1
2020-01-02,2.81,3.1,2.7,5.7,32,27.33,4.37,706.1,0,70,2.4,0.153,13.41,4,246,"Obispado",4,1,1
2020-01-02,2.87,3.1,5.2,8.3,23,31.54,9.28,705.7,0,73,2.6,0.155,13.05,3.4,227,"Obispado",4,1,1
2020-01-02,2.96,4.1,7.8,12,15,32.44,10.15,705.5,0,75,2.6,0.158,12.75,1.9,263,"Obispado",4,1,1
2020-01-02,3.25,9.7,10.1,19.8,10,NA,NA,705.4,0,76,NA,0.166,12.84,3.3,244,"Obispado",4,1,1
2020-01-02,3.48,17.8,11.3,29.1,8,27.52,9.59,705.6,0,75,2.7,0.176,13.71,2.7,194,"Obispado",4,1,1
2020-01-02,3.38,11.9,10.7,22.6,10,30.65,9.76,705.7,0,71,3,0.172,15.17,5.2,186,"Obispado",4,1,1
2020-01-02,3.19,9.1,7.8,16.9,20,38.82,7.8,705.7,0,57,3.2,0.171,19.16,5.8,183,"Obispado",4,1,1
2020-01-02,3.1,6.3,5.9,12.2,28,36.36,5.98,704.8,0,47,2.6,0.169,21.44,9.8,134,"Obispado",4,1,1
2020-01-02,3.09,5.6,5.8,11.3,30,23.08,4.93,703.9,0,42,2.4,0.169,22.55,6.5,106,"Obispado",4,1,1
2020-01-02,3.11,5.8,7.8,13.5,34,31.28,5.95,703.4,0,32,2.3,0.171,22.75,4.8,8,"Obispado",4,1,1
2020-01-02,3.23,6.9,9.9,16.9,33,42.78,10.05,702.9,0,38,3.9,0.175,23.34,6.5,76,"Obispado",4,1,1
2020-01-02,3.21,6.3,11.2,17.4,27,46.21,11.49,703.1,0,44,5.5,0.173,21.6,7.4,63,"Obispado",4,1,1
2020-01-02,3.28,5.8,10.2,16,26,44.68,9.46,703.4,0,47,2.9,0.172,21.93,3.4,157,"Obispado",4,1,1
2020-01-02,3.51,7,14.3,21.3,13,47.64,11.01,703.8,0,51,3.4,0.177,20.92,1.5,244,"Obispado",4,1,1
2020-01-02,4.16,24.5,16.9,41.3,5,69.75,15.51,704.4,0,56,3.4,0.194,18.86,1.8,240,"Obispado",4,1,1
2020-01-02,3.89,17.5,15.5,33,5,60.56,12.68,705.1,0,59,3,0.184,17.37,1.7,229,"Obispado",4,1,1
2020-01-02,3.74,13.8,14.5,28.2,5,49.39,12.33,705.5,0,60,2.7,0.179,16.44,1.1,292,"Obispado",4,1,1
2020-01-02,3.38,6.6,14.3,20.8,7,37.84,11.29,706,0,53,2.6,0.172,16.52,2.3,271,"Obispado",4,1,1
2020-01-02,3.8,21.6,15.3,36.9,8,65.8,23.02,706.2,0,57,3.4,0.187,15.79,3.2,239,"Obispado",4,1,1
2020-01-03,3.32,7.7,14.5,22.1,8,57.49,18.51,706.5,0,52,3.8,0.173,16.04,5.7,241,"Obispado",4,1,1
2020-01-03,3.2,10.1,14.8,24.9,8,66.11,18.2,707,0,51,5.5,0.176,15.85,5.4,236,"Obispado",4,1,1
