"date","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","RH","SO2","SR","TOUT","WSR","WDR","Estacion","season","periodo","pandemia"
2020-09-03,0.467,5.4,4.7,9.6,33.9,70,NA,NA,0,NA,4,0.744,30.5,6.8,94,"Pesqueria",3,2,0
2020-09-03,0.506,5.1,4.6,9.3,37.5,81,NA,NA,0,NA,4.6,0.804,31.5,9.2,114,"Pesqueria",3,2,0
2020-09-03,0.46,5.2,3.8,8.6,34.7,65,NA,NA,0,NA,3.8,0.896,32.7,13.2,109,"Pesqueria",3,2,0
2020-09-03,0.537,5.1,4.5,9.2,39.2,58,NA,NA,0,NA,3.5,0.838,33.9,16.1,98,"Pesqueria",3,2,0
2020-09-03,0.584,4.7,4,8.3,38.3,66,NA,NA,0,NA,3.7,0.488,35.1,10.7,128,"Pesqueria",3,2,0
2020-09-03,0.47,5.8,13.6,19,36.8,113,NA,NA,0,NA,3.3,0.128,29.4,22.1,256,"Pesqueria",3,2,0
2020-09-03,0.677,6.7,21.1,27.4,26.9,359,NA,NA,0,NA,3.6,0.101,27.7,15.9,259,"Pesqueria",3,2,0
2020-09-03,0.874,9.1,29.3,37.9,18,52,NA,NA,0,NA,4.9,0.079,28.1,15.1,286,"Pesqueria",3,2,0
2020-09-03,0.533,5.5,16.3,21.3,25.8,59,NA,NA,0,NA,3.8,0.019,27.9,5.1,338,"Pesqueria",3,2,0
2020-09-03,0.487,4.9,17.6,22.1,19.7,58,NA,NA,0,NA,3.4,0,27.3,6.5,292,"Pesqueria",3,2,0
2020-09-03,0.551,5.2,22.7,27.5,14.4,54,NA,NA,0,NA,3,0,27.1,8.9,306,"Pesqueria",3,2,0
2020-09-03,0.5,4.7,15.9,20.1,16.9,67,NA,NA,0,NA,2.9,0,26.7,2.4,259,"Pesqueria",3,2,0
2020-09-03,0.548,5.5,16.1,21.1,13.2,55,NA,NA,0,NA,3.3,0,26.7,3,18,"Pesqueria",3,2,0
2020-09-04,0.477,4.8,11.7,16.2,15.9,74,NA,NA,0,NA,3.6,0,27.1,8.1,113,"Pesqueria",3,2,0
2020-09-04,0.414,4.9,5.1,9.6,15.7,58,NA,NA,0,NA,2.8,0,26.9,12.9,111,"Pesqueria",3,2,0
2020-09-04,0.418,4.8,3.8,8.2,14,25,NA,NA,0,NA,2.6,0,26.8,12.3,98,"Pesqueria",3,2,0
2020-09-04,0.435,5.1,3.6,8.3,14,14,NA,NA,0,NA,2.6,0,26.6,12.2,103,"Pesqueria",3,2,0
2020-09-04,0.388,5.1,4,8.7,13.4,14,NA,NA,0,NA,2.5,0,26.2,9.1,108,"Pesqueria",3,2,0
2020-09-04,0.414,5.2,4.2,8.9,12.4,16,NA,NA,0,NA,2.5,0,25.7,4.2,119,"Pesqueria",3,2,0
2020-09-04,0.459,6.1,9.3,15,6.5,17,NA,NA,0,NA,2.5,0,25.5,5.6,102,"Pesqueria",3,2,0
2020-09-04,0.444,5.7,7.7,13.1,8.2,23,NA,NA,0,NA,NA,0.027,25.4,4.7,112,"Pesqueria",3,2,0
2020-09-04,0.439,7.4,7.6,14.6,9.5,28,NA,NA,0,NA,NA,0.121,26.1,5.6,109,"Pesqueria",3,2,0
2020-09-04,0.408,5.8,3.6,9,15.1,38,NA,NA,0,NA,2.8,0.224,27.2,8.9,129,"Pesqueria",3,2,0
2020-09-04,0.422,5.7,3.7,9,16.9,21,NA,NA,0,NA,3.4,0.224,27.7,7.2,137,"Pesqueria",3,2,0
2020-09-04,0.413,5.7,3.5,8.7,22,21,NA,NA,0,NA,2.7,0.699,30.3,5.9,160,"Pesqueria",3,2,0
2020-09-04,0.45,5.6,3.3,8.5,24.9,20,NA,NA,0,NA,2.6,0.684,31.3,10,116,"Pesqueria",3,2,0
