"date","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","RH","SO2","SR","TOUT","WSR","WDR","Estacion","season","periodo","pandemia"
2020-01-01,2.11,NA,NA,NA,19,57,NA,735.7,0,96,5.4,0.01,11.2,8.1,NA,"Tec",4,1,1
2020-01-01,2.06,NA,NA,NA,19,68,53.84,734.8,0,96,5.5,0.01,11.26,5.5,NA,"Tec",4,1,1
2020-01-01,1.96,NA,NA,NA,19,68,36.47,734.2,0,96,5.4,0.01,11.35,3.8,NA,"Tec",4,1,1
2020-01-01,1.98,NA,NA,NA,16,48,33.59,733.9,0,96,5.5,0.01,11.47,3.3,NA,"Tec",4,1,1
2020-01-01,2.06,NA,NA,NA,13,42,33.42,733.8,0.02,96,5.4,0.01,11.69,3.5,NA,"Tec",4,1,1
2020-01-01,1.94,NA,NA,NA,15,38,20.2,733.8,0.1,96,5.4,0.01,11.71,2.9,NA,"Tec",4,1,1
2020-01-01,2.06,NA,NA,NA,10,33,23.84,733.6,0.06,96,NA,0.01,11.84,3.8,NA,"Tec",4,1,1
2020-01-01,1.94,NA,NA,NA,12,36,15.65,733.6,0.02,NA,NA,0.012,11.89,3,NA,"Tec",4,1,1
2020-01-01,2.04,NA,NA,NA,8,35,28.25,734.5,0.06,NA,NA,0.041,12.82,13,NA,"Tec",4,1,1
2020-01-01,1.98,NA,NA,NA,9,37,20.68,734.4,0.04,NA,NA,0.074,13.58,4.4,NA,"Tec",4,1,1
2020-01-01,1.97,NA,NA,NA,10,31,15.39,733.6,0.02,95,NA,0.103,14.67,6.3,NA,"Tec",4,1,1
2020-01-01,2.07,NA,NA,NA,8,28,15.13,732.6,0.02,95,5.5,0.074,15.35,7.6,NA,"Tec",4,1,1
2020-01-01,1.9,NA,NA,NA,16,26,11.15,731.7,0,93,5.4,0.07,15.45,10.5,NA,"Tec",4,1,1
2020-01-01,1.78,NA,NA,NA,25,21,4.98,730.7,0,86,5.4,0.046,15.62,15.9,NA,"Tec",4,1,1
2020-01-01,1.78,NA,NA,NA,24,15,3.68,730.8,0.02,83,5.3,0.019,15.63,16.6,NA,"Tec",4,1,1
2020-01-01,1.81,NA,NA,NA,24,10,5.25,731.2,0.11,89,5.3,0.022,14.56,10.3,NA,"Tec",4,1,1
2020-01-01,1.76,NA,NA,NA,27,9,3.58,731.1,0.04,89,NA,0.016,14.22,17.7,NA,"Tec",4,1,1
2020-01-01,1.79,NA,NA,NA,26,14,3.66,731.1,0.04,87,NA,0.01,14.22,13.2,NA,"Tec",4,1,1
2020-01-01,1.84,NA,NA,NA,21,9,4.49,731.4,0.06,89,5.4,0.01,13.84,9.1,NA,"Tec",4,1,1
2020-01-01,1.76,NA,NA,NA,28,10,3.02,731.4,0.07,89,5.3,0.01,13.6,13.3,NA,"Tec",4,1,1
2020-01-01,1.71,NA,NA,NA,32,10,2.15,731,0.06,86,5.2,0.01,13.64,14.1,NA,"Tec",4,1,1
2020-01-01,1.71,NA,NA,NA,30,9,NA,730.5,0,84,5.2,0.01,13.66,9.5,NA,"Tec",4,1,1
2020-01-02,1.74,NA,NA,NA,27,10,NA,729.8,0,83,5.3,0.009,13.68,10.1,NA,"Tec",4,1,1
2020-01-02,1.7,NA,NA,NA,30,7,NA,729.2,0,79,5.4,0.008,14.28,12.5,NA,"Tec",4,1,1
2020-01-02,1.72,NA,NA,NA,26,3,2.31,728.2,0,80,5.2,0.008,14.41,15.2,NA,"Tec",4,1,1
2020-01-02,1.68,NA,NA,NA,27,9,2.28,728,0,73,5.3,0.007,15.09,18.2,NA,"Tec",4,1,1
2020-01-02,1.66,NA,NA,NA,29,10,2.32,727.5,0,71,5.3,0.007,15.04,16.3,NA,"Tec",4,1,1
2020-01-02,1.66,NA,NA,NA,33,12,2.18,726.9,0,69,NA,0.007,14.91,14.4,NA,"Tec",4,1,1
2020-01-02,1.72,NA,NA,NA,24,15,2.85,726.5,0,74,NA,0.007,14.02,12.2,NA,"Tec",4,1,1
2020-01-02,1.81,NA,NA,NA,7,17,3.62,726.3,0,83,NA,0.01,12.78,7.9,NA,"Tec",4,1,1
2020-01-02,1.85,NA,NA,NA,9,20,3.91,726.2,0,83,NA,0.011,13.09,11.3,NA,"Tec",4,1,1
2020-01-02,2.12,NA,NA,NA,5,16,4.63,726.4,0,80,5.4,0.082,14.31,7.7,NA,"Tec",4,1,1
2020-01-02,2.18,NA,NA,NA,7,23,5.45,726.8,0,77,5.4,0.072,15.34,5.1,NA,"Tec",4,1,1
2020-01-02,2.06,NA,NA,NA,22,19,4.86,727.8,0,62,NA,0.342,19.27,9.5,NA,"Tec",4,1,1
2020-01-02,1.91,NA,NA,NA,28,24,4.55,727.4,0,57,NA,0.431,21.89,11.6,NA,"Tec",4,1,1
2020-01-02,1.85,NA,NA,NA,30,21,3.65,726.2,0,51,NA,0.401,23.01,15.9,NA,"Tec",4,1,1
2020-01-02,1.88,NA,NA,NA,34,21,3.62,725.8,0,42,NA,0.312,24.32,11.7,NA,"Tec",4,1,1
2020-01-02,1.82,NA,NA,NA,34,21,3.53,725.2,0,46,NA,0.319,24.04,14.2,NA,"Tec",4,1,1
2020-01-02,1.92,NA,NA,NA,31,18,5.58,725.2,0,52,5.3,0.101,22.31,13.7,NA,"Tec",4,1,1
2020-01-02,1.91,NA,NA,NA,32,34,6.49,725.5,0,56,6,0.09,22.61,13.9,NA,"Tec",4,1,1
2020-01-02,2.02,NA,NA,NA,23,37,8.62,726,0,57,6.9,0.049,22.09,6.8,NA,"Tec",4,1,1
2020-01-02,2.35,NA,NA,NA,4,41,8.4,725.8,0,65,6,0.008,18.57,2.9,NA,"Tec",4,1,1
2020-01-02,2.9,NA,NA,NA,3,43,11.25,727.2,0,70,5.9,0.007,17.02,2.9,NA,"Tec",4,1,1
2020-01-02,2.87,NA,NA,NA,3,53,11.47,727.4,0,71,5.9,0.007,16.17,2.9,NA,"Tec",4,1,1
2020-01-02,2.53,NA,NA,NA,3,50,10.79,727.6,0,74,5.6,0.007,15.58,4.5,NA,"Tec",4,1,1
2020-01-02,2.06,NA,NA,NA,6,35,8.6,728.1,0,69,5.4,0.007,15.99,9.8,NA,"Tec",4,1,1
2020-01-03,2.02,NA,NA,NA,6,37,7.82,728.4,0,71,5.4,0.007,15.3,9.5,NA,"Tec",4,1,1
2020-01-03,2,NA,NA,NA,7,32,8.58,729,0,64,5.6,0.007,15.96,12.1,NA,"Tec",4,1,1
2020-01-03,2.19,NA,NA,NA,3,42,14.96,729.5,0,65,5.6,0.007,15.35,8.2,NA,"Tec",4,1,1
2020-01-03,2.08,NA,NA,NA,4,59,12.27,730,0,64,5.7,0.007,15.21,8.5,NA,"Tec",4,1,1
2020-01-03,2.13,NA,NA,NA,3,57,11.71,730,0,72,5.6,0.007,13.61,4,NA,"Tec",4,1,1
2020-01-03,1.88,NA,NA,NA,9,46,8.01,726.5,0,68,5.5,0.007,13.76,8.8,NA,"Tec",4,1,1
2020-01-03,1.72,NA,NA,NA,19,22,4.54,726.6,0,50,5.5,0.007,15.89,9.9,NA,"Tec",4,1,1
2020-01-03,1.83,NA,NA,NA,9,21,4.67,727.1,0,56,5.6,0.007,14.53,8.3,NA,"Tec",4,1,1
2020-01-03,2.05,NA,NA,NA,6,31,6.3,727.6,0,59,5.7,0.01,13.89,10.7,NA,"Tec",4,1,1
2020-01-03,1.91,NA,NA,NA,18,48,5.35,729.4,0,43,6,0.1,17.35,15.7,NA,"Tec",4,1,1
2020-01-03,1.9,NA,NA,NA,26,63,6.76,734,0,36,6.5,0.242,19.85,18.2,NA,"Tec",4,1,1
2020-01-03,1.75,NA,NA,NA,32,77,5.87,735.4,0,32,7.2,0.352,20.86,30,NA,"Tec",4,1,1
2020-01-03,1.72,NA,NA,NA,35,99,5.55,735.7,0,33,6.4,0.23,19.75,37.8,NA,"Tec",4,1,1
2020-01-03,1.72,NA,NA,NA,37,96,4.61,735.5,0,32,6.1,0.42,20.51,29.6,NA,"Tec",4,1,1
2020-01-03,1.72,NA,NA,NA,43,36,4.73,735.2,0,26,5.5,0.417,21.46,26.1,NA,"Tec",4,1,1
2020-01-03,1.72,NA,NA,NA,42,66,4.26,735.8,0,24,5.5,0.318,21.64,30.6,NA,"Tec",4,1,1
2020-01-03,1.7,NA,NA,NA,41,44,3.46,736.5,0,24,5.6,0.188,21.29,27.1,NA,"Tec",4,1,1
2020-01-03,1.73,NA,NA,NA,36,20,3.64,737.1,0,25,5.8,0.053,20.42,20.1,NA,"Tec",4,1,1
2020-01-03,1.72,NA,NA,NA,38,28,3.46,737.7,0,27,5.4,0.008,19.39,22.5,NA,"Tec",4,1,1
2020-01-03,1.88,NA,NA,NA,19,23,6.36,738.5,0,31,6.3,0.007,18.25,21.5,NA,"Tec",4,1,1
2020-01-03,1.85,NA,NA,NA,26,48,6.74,739.3,0,32,5.6,0.007,17.63,22.6,NA,"Tec",4,1,1
2020-01-03,1.79,NA,NA,NA,15,97,7.31,NA,0,33,6.9,0.007,16.62,14.3,NA,"Tec",4,1,1
2020-01-03,1.77,NA,NA,NA,17,44,6.8,NA,0,36,5.6,0.007,15.27,5.6,NA,"Tec",4,1,1
2020-01-04,1.81,NA,NA,NA,17,33,9.07,NA,0,43,5.6,0.007,13.79,7.2,NA,"Tec",4,1,1
2020-01-04,1.81,NA,NA,NA,19,37,13.68,738.6,0,49,5.7,0.007,12.63,6.1,NA,"Tec",4,1,1
2020-01-04,1.83,NA,NA,NA,11,26,11.77,736.7,0,57,5.4,0.007,10.82,2.9,NA,"Tec",4,1,1
2020-01-04,1.84,NA,NA,NA,6,25,7.78,NA,0,64,5.3,0.007,9.63,2.9,NA,"Tec",4,1,1
2020-01-04,1.81,NA,NA,NA,5,25,7.86,NA,0,65,5.4,0.007,9.46,3.3,NA,"Tec",4,1,1
